CATEGORY,CITY
AEW68N,Luzern
IYB6YR,Luzern
F2FEB4,
TKVAZU,
WCZ7A5,
MHJD2P,
67SWZY,Morat/Murten
DCVBC9,Fully
CQDEKC,LAUSANNE
GYR432,Morat/Murten
VE7TTV,Aigle
6UJPF9,
TS6AE6,
WIQKS9,Aigle
ZVU9FC,Vevey
G2GVT7,Luzern
2RWFNL,Aigle
HIKRJL,Aigle
CPGHKY,Fully
95BVW2,
ZRWGYE,Martigny
GUTCJA,
KLYS6X,
ZXSTWM,Luzern
S59WW6,Luzern
KJIV4L,Luzern
M1EEZ3,Petit-Lancy
3HKZBP,zurichDEGRRT
59PJ1D,
JMA1JU,
WA75QY,
P2APG9,
Q24TMY,Basel
IGTWE3,Hamburg
QGA2PW,
PK9A7S,Orbe
DFQ3AX,Orbe
SIVGYI,Orbe
U221GP,Orbe
P2R9V5,Bern
914UN3,
U9DVE8,Epalinges
JJ2U3E,Epalinges
B92LG1,Epalinges
U15DRZ,Illarsaz
YNZBL8,
I7V7QQ,Basel
RP3VQE,Bern
IR8SLB,Luzern
937K2Z,Bex
N9HY1L,Bex
L798Z6,
E4T7YS,
QPVBLX,
HVSJQJ,
YBDQZK,Fully
KPI1ST,
47CHJU,
G7WUWR,
T8KGGY,
TJ2RXP,
QIQH6Z,
7UQJH8,
HGI4AX,Lausanne
P7J7TS,
NAYW1P,
QRMHIN,Lausanne
SU2TXP,Lausanne
F9MGKN,Lausanne
IW36WL,Bern
RQTR3C,
PN276Q,Naters
ZE6GXF,Lausanne
E3282U,Visp
GQLHTL,St-Triphon
ZBE2IR,
VJUSIL,
DPFRHU,
7BV5C8,
D1C8K5,Bâle
3A9KV7,Bern
CA5V2A,Zürich
X5RRLA,Lausanne
HHKTWB,
2J33IK,Monthey
7PM3UN,Bern
KKBCA7,Bern
CIH51B,Martigny
JBHI44,Fully
SSG5WB,Aproz
DGCW1Q,Massongex
94RY8G,Cries - Vollèges
Y2PMA3,
2ZCIDS,Haute-Nendaz
SDZSQW,
BJQGV2,Lausanne
BXJ2AS,Lausanne
XLJLCX,
Q8YXF5,
NDTAM6,
AQZIY5,
RFSMKE,Martigny
ISFH7S,Bamberg
U9LVBP,Lausanne
IK29ED,Lausanne
MSNJR2,Saas Grund
HFKJ5M,Bern
4FZHC6,
MXQ869,Morges
PRGJUX,Romanel-sur-Lausanne
FIGC4R,
5X2UI4,Bern
MSZNV4,Zürich
497EIR,Genève
SZN9R6,Pregny-Chambésy
NWQ7RP,
86LTAL,
26D1RG,
7RAZ1M,
UDZFZN,
YFKEZI,
8GATJ9,
5W4VGG,Luzern
WTF19H,
ZYHUW2,La Chaux-De-Fonds
RMZ8I8,La Chaux-De-Fonds
8E5D5I,
CGEYNS,
DSLHVD,Le Mont-Pèlerin
HULIUR,Basel
QKFIZY,
WF8CRH,Genève
SNWWS9,Genève
BVPVSD,Lausanne
U2P3LV,Zürich
RIKVJP,Lausanne
H73TJ7,Bern
Y441DC,
IC6UQR,
7YHKRZ,
FSN1YI,
K9QRCV,Fully
3KZBID,
BQB2LI,
FHE983,
2C89SR,
DSPFHT,
A6Z94I,
1K2QGQ,
MD7IM5,Zofingen
YBLLZI,LAUSANNE
57R1P5,Cries - Vollèges
NREY48,
NI4Q2K,
7TCQYE,
2K3Z6C,Lyon
XK1ZV9,Zofingen
7K5YEG,
AG7PVV,
AHH1EN,Wintertur
B9YTEJ,Wintertur
N34AV3,Luzern
MWZ4FG,Luzern
M3796T,
5T3I1Z,
XLLDV6,
YY2F3Q,Bad Feilnbach
U1QY3D,Montagny-les-lanches
IHZ6VT,
B4G91I,
1MGWNL,
KZK5JU,SION
EQRUT7,
61UEVQ,
WINEZB,
CZ7LPN,Bâle
G8LVV1,SION
VDCF58,
IUYI8Z,
IET7J1,
4S9QAF,
FD5AVE,Lausanne
Y4T4ET,
NLKTTZ,
Q2YK9F,5CYWFK
U8PNPI,
B7Q4K7,
N9MPWX,Charrat
PLHNTW,thun
Z28WDK,Illfurth
WHY7MG,
M85LWA,Chemin
FMCMSA,Chemin
RMDPPG,Evionnaz
VP2VAF,Evionnaz
QNS4Z8,Martigny
88HNEX,Massongex
3JVEKQ,Massongex
KFK4ZB,Massongex
9YIF6E,Massongex
LA78P4,
8TV7DI,Naters
7XXB8B,
LGK9DR,
TIXJY3,
MF1UL4,Aven
UTK2FZ,Aven
AP3JXG,Fully
HJEJNT,
8KFCQ2,Val de Bagnes
3QZHH2,
UZCYYV,Martigny
H3PULG,Val de Bagnes
JLIDW4,Liebefeld
7MWDDD,fribourg
688W7H,
516VEM,
1NDBA7,Geneve
BJKFMU,Geneve
6BLS1U,
1BSGLG,
BSSWCB,Genève
DWB5Z4,
N4Z3E7,
R5TLAU,
UF6MKM,
E1W5AM,
2ECJGY,St-Triphon
9ZTFE3,Lausanne
J5U1U4,
EN8JZ9,
PQMY9R,Basel
EDSL3J,Bern
EKCP3N,Bern
H9T3XE,Saillon
YD6Z9J,Saillon
EQDYS8,Brig
LEE4ML,
J8VSE8,Bern
ENPR1C,Orbe
XTWMYF,
NFIAJL,
YRB6XM,
QAPC9J,
ZMWF8U,
5A7C6H,LAUSANNE
3I7PLQ,Martigny
D3R5RI,
GBKICU,
FF8GF6,Lausanne
5C5PS4,Luzern
B15DUZ,Aigle
TM2IPF,
UT1Z6R,
R55MYA,Lausanne
9ZLX15,Châtel-St-Denis
1T3MLW,
NX9J3T,
R5QIVE,Lausanne
LBICT5,Luzern
T8X7T9,Luzern
SL4PMZ,
ZZ2X39,
KXX47D,Zofingen
JLLS43,
DNIZYU,
66NR2U,Glis
LLUQ9A,Glis
E5657U,Bernex
K2AIGH,Bernex
DUJQPG,
ZCA58S,
B6HISJ,fribourg
YCELDV,fribourg
7V3PJP,Prilly
S1UU6C,Prilly
GHA22T,
BBTD6M,Lausanne
7S6T93,Vevey
AE13XT,Morges
FA2RKD,Cries - Vollèges
I2SBJM,
1989FF,
V8SWQF,
9UCNSW,
DAX7U1,
ILRT4W,
MD7LVI,
MAWC6B,
8G2UDI,Lyon
XWZUUY,
VMUYH9,
VCY1GK,
FQLLRY,
3NPCZB,Fully
7RKCUQ,Fully
JX4QSM,Fully
MHK8A6,zürich
LBCU5J,
7DIB17,
3UDXCN,
PI6TJH,
T9HCN5,
X6DHC5,
43GS5M,Genève
GUAWJM,Genève
G2IS2G,
I3YJNM,
D1GE9N,
L4BR19,
T2TUYJ,Genève
UJ7IXD,Genève
5J898F,Lausanne
HBGXQJ,Lausanne
3KY49H,Val de Bagnes
EAIJ2W,Zofingen
1963WJ,Genève
G2HPVK,Genève
5E6LRQ,Bern
YD2ZAX,Bern
PT5YNG,
AMYP3H,
IRJMFD,
AEW68N,Luzern
IYB6YR,Luzern
F2FEB4,
TKVAZU,
WCZ7A5,
MHJD2P,
67SWZY,Morat/Murten
DCVBC9,Fully
CQDEKC,LAUSANNE
GYR432,Morat/Murten
VE7TTV,Aigle
6UJPF9,
TS6AE6,
WIQKS9,Aigle
ZVU9FC,Vevey
G2GVT7,Luzern
2RWFNL,Aigle
HIKRJL,Aigle
CPGHKY,Fully
95BVW2,
ZRWGYE,Martigny
GUTCJA,
KLYS6X,
ZXSTWM,Luzern
S59WW6,Luzern
KJIV4L,Luzern
M1EEZ3,Petit-Lancy
3HKZBP,zurichDEGRRT
59PJ1D,
JMA1JU,
WA75QY,
P2APG9,
Q24TMY,Basel
IGTWE3,Hamburg
QGA2PW,
PK9A7S,Orbe
DFQ3AX,Orbe
SIVGYI,Orbe
U221GP,Orbe
P2R9V5,Bern
914UN3,
U9DVE8,Epalinges
JJ2U3E,Epalinges
B92LG1,Epalinges
U15DRZ,Illarsaz
YNZBL8,
I7V7QQ,Basel
RP3VQE,Bern
IR8SLB,Luzern
937K2Z,Bex
N9HY1L,Bex
L798Z6,
E4T7YS,
QPVBLX,
HVSJQJ,
YBDQZK,Fully
KPI1ST,
47CHJU,
G7WUWR,
T8KGGY,
TJ2RXP,
QIQH6Z,
7UQJH8,
HGI4AX,Lausanne
P7J7TS,
NAYW1P,
QRMHIN,Lausanne
SU2TXP,Lausanne
F9MGKN,Lausanne
IW36WL,Bern
RQTR3C,
PN276Q,Naters
ZE6GXF,Lausanne
E3282U,Visp
GQLHTL,St-Triphon
ZBE2IR,
VJUSIL,
DPFRHU,
7BV5C8,
D1C8K5,Bâle
3A9KV7,Bern
CA5V2A,Zürich
X5RRLA,Lausanne
HHKTWB,
2J33IK,Monthey
7PM3UN,Bern
KKBCA7,Bern
CIH51B,Martigny
JBHI44,Fully
SSG5WB,Aproz
DGCW1Q,Massongex
94RY8G,Cries - Vollèges
Y2PMA3,
2ZCIDS,Haute-Nendaz
SDZSQW,
BJQGV2,Lausanne
BXJ2AS,Lausanne
XLJLCX,
Q8YXF5,
NDTAM6,
AQZIY5,
RFSMKE,Martigny
ISFH7S,Bamberg
U9LVBP,Lausanne
IK29ED,Lausanne
MSNJR2,Saas Grund
HFKJ5M,Bern
4FZHC6,
MXQ869,Morges
PRGJUX,Romanel-sur-Lausanne
FIGC4R,
5X2UI4,Bern
MSZNV4,Zürich
497EIR,Genève
SZN9R6,Pregny-Chambésy
NWQ7RP,
86LTAL,
26D1RG,
7RAZ1M,
UDZFZN,
YFKEZI,
8GATJ9,
5W4VGG,Luzern
WTF19H,
ZYHUW2,La Chaux-De-Fonds
RMZ8I8,La Chaux-De-Fonds
8E5D5I,
CGEYNS,
DSLHVD,Le Mont-Pèlerin
HULIUR,Basel
QKFIZY,
WF8CRH,Genève
SNWWS9,Genève
BVPVSD,Lausanne
U2P3LV,Zürich
RIKVJP,Lausanne
H73TJ7,Bern
Y441DC,
IC6UQR,
7YHKRZ,
FSN1YI,
K9QRCV,Fully
3KZBID,
BQB2LI,
FHE983,
2C89SR,
DSPFHT,
A6Z94I,
1K2QGQ,
MD7IM5,Zofingen
YBLLZI,LAUSANNE
57R1P5,Cries - Vollèges
NREY48,
NI4Q2K,
7TCQYE,
2K3Z6C,Lyon
XK1ZV9,Zofingen
7K5YEG,
AG7PVV,
AHH1EN,Wintertur
B9YTEJ,Wintertur
N34AV3,Luzern
MWZ4FG,Luzern
M3796T,
5T3I1Z,
XLLDV6,
YY2F3Q,Bad Feilnbach
U1QY3D,Montagny-les-lanches
IHZ6VT,
B4G91I,
1MGWNL,
KZK5JU,SION
EQRUT7,
61UEVQ,
WINEZB,
CZ7LPN,Bâle
G8LVV1,SION
VDCF58,
IUYI8Z,
IET7J1,
4S9QAF,
FD5AVE,Lausanne
Y4T4ET,
NLKTTZ,
Q2YK9F,5CYWFK
U8PNPI,
B7Q4K7,
N9MPWX,Charrat
PLHNTW,thun
Z28WDK,Illfurth
WHY7MG,
M85LWA,Chemin
FMCMSA,Chemin
RMDPPG,Evionnaz
VP2VAF,Evionnaz
QNS4Z8,Martigny
88HNEX,Massongex
3JVEKQ,Massongex
KFK4ZB,Massongex
9YIF6E,Massongex
LA78P4,
8TV7DI,Naters
7XXB8B,
LGK9DR,
TIXJY3,
MF1UL4,Aven
UTK2FZ,Aven
AP3JXG,Fully
HJEJNT,
8KFCQ2,Val de Bagnes
3QZHH2,
UZCYYV,Martigny
H3PULG,Val de Bagnes
JLIDW4,Liebefeld
7MWDDD,fribourg
688W7H,
516VEM,
1NDBA7,Geneve
BJKFMU,Geneve
6BLS1U,
1BSGLG,
BSSWCB,Genève
DWB5Z4,
N4Z3E7,
R5TLAU,
UF6MKM,
E1W5AM,
2ECJGY,St-Triphon
9ZTFE3,Lausanne
J5U1U4,
EN8JZ9,
PQMY9R,Basel
EDSL3J,Bern
EKCP3N,Bern
H9T3XE,Saillon
YD6Z9J,Saillon
EQDYS8,Brig
LEE4ML,
J8VSE8,Bern
ENPR1C,Orbe
XTWMYF,
NFIAJL,
YRB6XM,
QAPC9J,
ZMWF8U,
5A7C6H,LAUSANNE
3I7PLQ,Martigny
D3R5RI,
GBKICU,
FF8GF6,Lausanne
5C5PS4,Luzern
B15DUZ,Aigle
TM2IPF,
UT1Z6R,
R55MYA,Lausanne
9ZLX15,Châtel-St-Denis
1T3MLW,
NX9J3T,
R5QIVE,Lausanne
LBICT5,Luzern
T8X7T9,Luzern
SL4PMZ,
ZZ2X39,
KXX47D,Zofingen
JLLS43,
DNIZYU,
66NR2U,Glis
LLUQ9A,Glis
E5657U,Bernex
K2AIGH,Bernex
DUJQPG,
ZCA58S,
B6HISJ,fribourg
YCELDV,fribourg
7V3PJP,Prilly
S1UU6C,Prilly
GHA22T,
BBTD6M,Lausanne
7S6T93,Vevey
AE13XT,Morges
FA2RKD,Cries - Vollèges
I2SBJM,
1989FF,
V8SWQF,
9UCNSW,
DAX7U1,
ILRT4W,
MD7LVI,
MAWC6B,
8G2UDI,Lyon
XWZUUY,
VMUYH9,
VCY1GK,
FQLLRY,
3NPCZB,Fully
7RKCUQ,Fully
JX4QSM,Fully
MHK8A6,zürich
LBCU5J,
7DIB17,
3UDXCN,
PI6TJH,
T9HCN5,
X6DHC5,
43GS5M,Genève
GUAWJM,Genève
G2IS2G,
I3YJNM,
D1GE9N,
L4BR19,
T2TUYJ,Genève
UJ7IXD,Genève
5J898F,Lausanne
HBGXQJ,Lausanne
3KY49H,Val de Bagnes
EAIJ2W,Zofingen
1963WJ,Genève
G2HPVK,Genève
5E6LRQ,Bern
YD2ZAX,Bern
PT5YNG,
AMYP3H,
IRJMFD,
AEW68N,Luzern
IYB6YR,Luzern
F2FEB4,
TKVAZU,
WCZ7A5,
MHJD2P,
67SWZY,Morat/Murten
DCVBC9,Fully
CQDEKC,LAUSANNE
GYR432,Morat/Murten
VE7TTV,Aigle
6UJPF9,
TS6AE6,
WIQKS9,Aigle
ZVU9FC,Vevey
G2GVT7,Luzern
2RWFNL,Aigle
HIKRJL,Aigle
CPGHKY,Fully
95BVW2,
ZRWGYE,Martigny
GUTCJA,
KLYS6X,
ZXSTWM,Luzern
S59WW6,Luzern
KJIV4L,Luzern
M1EEZ3,Petit-Lancy
3HKZBP,zurichDEGRRT
59PJ1D,
JMA1JU,
WA75QY,
P2APG9,
Q24TMY,Basel
IGTWE3,Hamburg
QGA2PW,
PK9A7S,Orbe
DFQ3AX,Orbe
SIVGYI,Orbe
U221GP,Orbe
P2R9V5,Bern
914UN3,
U9DVE8,Epalinges
JJ2U3E,Epalinges
B92LG1,Epalinges
U15DRZ,Illarsaz
YNZBL8,
I7V7QQ,Basel
RP3VQE,Bern
IR8SLB,Luzern
937K2Z,Bex
N9HY1L,Bex
L798Z6,
E4T7YS,
QPVBLX,
HVSJQJ,
YBDQZK,Fully
KPI1ST,
47CHJU,
G7WUWR,
T8KGGY,
TJ2RXP,
QIQH6Z,
7UQJH8,
HGI4AX,Lausanne
P7J7TS,
NAYW1P,
QRMHIN,Lausanne
SU2TXP,Lausanne
F9MGKN,Lausanne
IW36WL,Bern
RQTR3C,
PN276Q,Naters
ZE6GXF,Lausanne
E3282U,Visp
GQLHTL,St-Triphon
ZBE2IR,
